Date,Day,Area,Latitude,Longitude,Ideal Police Force,no_helmet_Violations,no_parking_Violations,signal_jumps
2022-01-01,Saturday,Shivajinagar,18.5302,73.8526,94,144,123,171
2022-01-02,Sunday,Shivajinagar,18.5302,73.8526,12,144,123,171
2022-01-03,Monday,Shivajinagar,18.5302,73.8526,79,144,123,171
2022-01-04,Tuesday,Viman Nagar,18.5679,73.9143,22,164,129,237
2022-01-05,Wednesday,Kothrud,18.5074,73.8077,54,147,159,186
2022-01-06,Thursday,Viman Nagar,18.5679,73.9143,76,164,129,237
2022-01-07,Friday,Hinjawadi,18.5972,73.7186,95,167,139,220
2022-01-08,Saturday,Hinjawadi,18.5972,73.7186,49,167,139,220
2022-01-09,Sunday,Viman Nagar,18.5679,73.9143,49,164,129,237
2022-01-10,Monday,Shivajinagar,18.5302,73.8526,85,144,123,171
2022-01-11,Tuesday,Kothrud,18.5074,73.8077,32,147,159,186
2022-01-12,Wednesday,Kothrud,18.5074,73.8077,40,147,159,186
2022-01-13,Thursday,Kothrud,18.5074,73.8077,27,147,159,186
2022-01-14,Friday,Kothrud,18.5074,73.8077,80,147,159,186
2022-01-15,Saturday,Shivajinagar,18.5302,73.8526,81,144,123,171
2022-01-16,Sunday,Kothrud,18.5074,73.8077,28,147,159,186
2022-01-17,Monday,Shivajinagar,18.5302,73.8526,53,144,123,171
2022-01-18,Tuesday,Hinjawadi,18.5972,73.7186,93,167,139,220
2022-01-19,Wednesday,Shivajinagar,18.5302,73.8526,59,144,123,171
2022-01-20,Thursday,Hinjawadi,18.5972,73.7186,51,167,139,220
2022-01-21,Friday,Kothrud,18.5074,73.8077,56,147,159,186
2022-01-22,Saturday,Viman Nagar,18.5679,73.9143,31,164,129,237
2022-01-23,Sunday,Hinjawadi,18.5972,73.7186,83,167,139,220
2022-01-24,Monday,Hinjawadi,18.5972,73.7186,99,167,139,220
2022-01-25,Tuesday,Shivajinagar,18.5302,73.8526,83,144,123,171
2022-01-26,Wednesday,Viman Nagar,18.5679,73.9143,38,164,129,237
2022-01-27,Thursday,Hinjawadi,18.5972,73.7186,91,167,139,220
2022-01-28,Friday,Shivajinagar,18.5302,73.8526,68,144,123,171
2022-01-29,Saturday,Kothrud,18.5074,73.8077,10,147,159,186
2022-01-30,Sunday,Hinjawadi,18.5972,73.7186,96,167,139,220
2022-01-31,Monday,Kothrud,18.5074,73.8077,73,147,159,186
2022-02-01,Tuesday,Hinjawadi,18.5972,73.7186,26,167,139,220
2022-02-02,Wednesday,Hinjawadi,18.5972,73.7186,46,167,139,220
2022-02-03,Thursday,Viman Nagar,18.5679,73.9143,34,164,129,237
2022-02-04,Friday,Hinjawadi,18.5972,73.7186,73,167,139,220
2022-02-05,Saturday,Shivajinagar,18.5302,73.8526,77,144,123,171
2022-02-06,Sunday,Kothrud,18.5074,73.8077,61,147,159,186
2022-02-07,Monday,Kothrud,18.5074,73.8077,18,147,159,186
2022-02-08,Tuesday,Kothrud,18.5074,73.8077,66,147,159,186
2022-02-09,Wednesday,Hinjawadi,18.5972,73.7186,97,167,139,220
2022-02-10,Thursday,Shivajinagar,18.5302,73.8526,42,144,123,171
2022-02-11,Friday,Hinjawadi,18.5972,73.7186,29,167,139,220
2022-02-12,Saturday,Viman Nagar,18.5679,73.9143,82,164,129,237
2022-02-13,Sunday,Shivajinagar,18.5302,73.8526,81,144,123,171
2022-02-14,Monday,Hinjawadi,18.5972,73.7186,97,167,139,220
2022-02-15,Tuesday,Hinjawadi,18.5972,73.7186,23,167,139,220
2022-02-16,Wednesday,Viman Nagar,18.5679,73.9143,68,164,129,237
2022-02-17,Thursday,Hinjawadi,18.5972,73.7186,91,167,139,220
2022-02-18,Friday,Viman Nagar,18.5679,73.9143,65,164,129,237
2022-02-19,Saturday,Hinjawadi,18.5972,73.7186,74,167,139,220
2022-02-20,Sunday,Shivajinagar,18.5302,73.8526,85,144,123,171
2022-02-21,Monday,Viman Nagar,18.5679,73.9143,46,164,129,237
2022-02-22,Tuesday,Shivajinagar,18.5302,73.8526,35,144,123,171
2022-02-23,Wednesday,Shivajinagar,18.5302,73.8526,42,144,123,171
2022-02-24,Thursday,Shivajinagar,18.5302,73.8526,52,144,123,171
2022-02-25,Friday,Kothrud,18.5074,73.8077,24,147,159,186
2022-02-26,Saturday,Kothrud,18.5074,73.8077,96,147,159,186
2022-02-27,Sunday,Viman Nagar,18.5679,73.9143,38,164,129,237
2022-02-28,Monday,Shivajinagar,18.5302,73.8526,30,144,123,171
2022-03-01,Tuesday,Shivajinagar,18.5302,73.8526,92,144,123,171
2022-03-02,Wednesday,Kothrud,18.5074,73.8077,78,147,159,186
2022-03-03,Thursday,Hinjawadi,18.5972,73.7186,32,167,139,220
2022-03-04,Friday,Shivajinagar,18.5302,73.8526,93,144,123,171
2022-03-05,Saturday,Kothrud,18.5074,73.8077,17,147,159,186
2022-03-06,Sunday,Viman Nagar,18.5679,73.9143,82,164,129,237
2022-03-07,Monday,Viman Nagar,18.5679,73.9143,71,164,129,237
2022-03-08,Tuesday,Hinjawadi,18.5972,73.7186,23,167,139,220
2022-03-09,Wednesday,Shivajinagar,18.5302,73.8526,15,144,123,171
2022-03-10,Thursday,Kothrud,18.5074,73.8077,10,147,159,186
2022-03-11,Friday,Kothrud,18.5074,73.8077,18,147,159,186
2022-03-12,Saturday,Hinjawadi,18.5972,73.7186,89,167,139,220
2022-03-13,Sunday,Kothrud,18.5074,73.8077,89,147,159,186
2022-03-14,Monday,Kothrud,18.5074,73.8077,63,147,159,186
2022-03-15,Tuesday,Hinjawadi,18.5972,73.7186,21,167,139,220
2022-03-16,Wednesday,Viman Nagar,18.5679,73.9143,14,164,129,237
2022-03-17,Thursday,Hinjawadi,18.5972,73.7186,49,167,139,220
2022-03-18,Friday,Hinjawadi,18.5972,73.7186,55,167,139,220
2022-03-19,Saturday,Viman Nagar,18.5679,73.9143,36,164,129,237
2022-03-20,Sunday,Viman Nagar,18.5679,73.9143,84,164,129,237
2022-03-21,Monday,Hinjawadi,18.5972,73.7186,62,167,139,220
2022-03-22,Tuesday,Shivajinagar,18.5302,73.8526,59,144,123,171
2022-03-23,Wednesday,Viman Nagar,18.5679,73.9143,61,164,129,237
2022-03-24,Thursday,Hinjawadi,18.5972,73.7186,28,167,139,220
2022-03-25,Friday,Kothrud,18.5074,73.8077,44,147,159,186
2022-03-26,Saturday,Shivajinagar,18.5302,73.8526,61,144,123,171
2022-03-27,Sunday,Kothrud,18.5074,73.8077,40,147,159,186
2022-03-28,Monday,Viman Nagar,18.5679,73.9143,63,164,129,237
2022-03-29,Tuesday,Shivajinagar,18.5302,73.8526,68,144,123,171
2022-03-30,Wednesday,Hinjawadi,18.5972,73.7186,53,167,139,220
2022-03-31,Thursday,Shivajinagar,18.5302,73.8526,65,144,123,171
2022-04-01,Friday,Viman Nagar,18.5679,73.9143,28,164,129,237
2022-04-02,Saturday,Shivajinagar,18.5302,73.8526,55,144,123,171
2022-04-03,Sunday,Hinjawadi,18.5972,73.7186,97,167,139,220
2022-04-04,Monday,Hinjawadi,18.5972,73.7186,75,167,139,220
2022-04-05,Tuesday,Shivajinagar,18.5302,73.8526,80,144,123,171
2022-04-06,Wednesday,Hinjawadi,18.5972,73.7186,63,167,139,220
2022-04-07,Thursday,Shivajinagar,18.5302,73.8526,58,144,123,171
2022-04-08,Friday,Shivajinagar,18.5302,73.8526,69,144,123,171
2022-04-09,Saturday,Shivajinagar,18.5302,73.8526,90,144,123,171
2022-04-10,Sunday,Shivajinagar,18.5302,73.8526,36,144,123,171
2022-04-11,Monday,Viman Nagar,18.5679,73.9143,45,164,129,237
2022-04-12,Tuesday,Hinjawadi,18.5972,73.7186,68,167,139,220
2022-04-13,Wednesday,Shivajinagar,18.5302,73.8526,59,144,123,171
2022-04-14,Thursday,Hinjawadi,18.5972,73.7186,83,167,139,220
2022-04-15,Friday,Viman Nagar,18.5679,73.9143,54,164,129,237
2022-04-16,Saturday,Hinjawadi,18.5972,73.7186,23,167,139,220
2022-04-17,Sunday,Hinjawadi,18.5972,73.7186,80,167,139,220
2022-04-18,Monday,Kothrud,18.5074,73.8077,48,147,159,186
2022-04-19,Tuesday,Kothrud,18.5074,73.8077,49,147,159,186
2022-04-20,Wednesday,Kothrud,18.5074,73.8077,18,147,159,186
2022-04-21,Thursday,Shivajinagar,18.5302,73.8526,23,144,123,171
2022-04-22,Friday,Kothrud,18.5074,73.8077,17,147,159,186
2022-04-23,Saturday,Kothrud,18.5074,73.8077,90,147,159,186
2022-04-24,Sunday,Kothrud,18.5074,73.8077,32,147,159,186
2022-04-25,Monday,Hinjawadi,18.5972,73.7186,89,167,139,220
2022-04-26,Tuesday,Shivajinagar,18.5302,73.8526,99,144,123,171
2022-04-27,Wednesday,Hinjawadi,18.5972,73.7186,18,167,139,220
2022-04-28,Thursday,Kothrud,18.5074,73.8077,16,147,159,186
2022-04-29,Friday,Viman Nagar,18.5679,73.9143,91,164,129,237
2022-04-30,Saturday,Shivajinagar,18.5302,73.8526,81,144,123,171
2022-05-01,Sunday,Kothrud,18.5074,73.8077,94,147,159,186
2022-05-02,Monday,Viman Nagar,18.5679,73.9143,99,164,129,237
2022-05-03,Tuesday,Shivajinagar,18.5302,73.8526,76,144,123,171
2022-05-04,Wednesday,Viman Nagar,18.5679,73.9143,70,164,129,237
2022-05-05,Thursday,Shivajinagar,18.5302,73.8526,26,144,123,171
2022-05-06,Friday,Kothrud,18.5074,73.8077,66,147,159,186
2022-05-07,Saturday,Hinjawadi,18.5972,73.7186,33,167,139,220
2022-05-08,Sunday,Viman Nagar,18.5679,73.9143,34,164,129,237
2022-05-09,Monday,Viman Nagar,18.5679,73.9143,14,164,129,237
2022-05-10,Tuesday,Kothrud,18.5074,73.8077,59,147,159,186
2022-05-11,Wednesday,Shivajinagar,18.5302,73.8526,97,144,123,171
2022-05-12,Thursday,Hinjawadi,18.5972,73.7186,40,167,139,220
2022-05-13,Friday,Kothrud,18.5074,73.8077,64,147,159,186
2022-05-14,Saturday,Kothrud,18.5074,73.8077,35,147,159,186
2022-05-15,Sunday,Hinjawadi,18.5972,73.7186,30,167,139,220
2022-05-16,Monday,Shivajinagar,18.5302,73.8526,67,144,123,171
2022-05-17,Tuesday,Viman Nagar,18.5679,73.9143,33,164,129,237
2022-05-18,Wednesday,Viman Nagar,18.5679,73.9143,37,164,129,237
2022-05-19,Thursday,Hinjawadi,18.5972,73.7186,39,167,139,220
2022-05-20,Friday,Viman Nagar,18.5679,73.9143,43,164,129,237
2022-05-21,Saturday,Hinjawadi,18.5972,73.7186,63,167,139,220
2022-05-22,Sunday,Hinjawadi,18.5972,73.7186,61,167,139,220
2022-05-23,Monday,Hinjawadi,18.5972,73.7186,96,167,139,220
2022-05-24,Tuesday,Viman Nagar,18.5679,73.9143,17,164,129,237
2022-05-25,Wednesday,Kothrud,18.5074,73.8077,19,147,159,186
2022-05-26,Thursday,Viman Nagar,18.5679,73.9143,64,164,129,237
2022-05-27,Friday,Viman Nagar,18.5679,73.9143,10,164,129,237
2022-05-28,Saturday,Hinjawadi,18.5972,73.7186,93,167,139,220
2022-05-29,Sunday,Viman Nagar,18.5679,73.9143,46,164,129,237
2022-05-30,Monday,Hinjawadi,18.5972,73.7186,91,167,139,220
2022-05-31,Tuesday,Hinjawadi,18.5972,73.7186,30,167,139,220
2022-06-01,Wednesday,Viman Nagar,18.5679,73.9143,13,164,129,237
2022-06-02,Thursday,Viman Nagar,18.5679,73.9143,52,164,129,237
2022-06-03,Friday,Hinjawadi,18.5972,73.7186,75,167,139,220
2022-06-04,Saturday,Shivajinagar,18.5302,73.8526,30,144,123,171
2022-06-05,Sunday,Kothrud,18.5074,73.8077,46,147,159,186
2022-06-06,Monday,Viman Nagar,18.5679,73.9143,78,164,129,237
2022-06-07,Tuesday,Hinjawadi,18.5972,73.7186,90,167,139,220
2022-06-08,Wednesday,Viman Nagar,18.5679,73.9143,57,164,129,237
2022-06-09,Thursday,Kothrud,18.5074,73.8077,20,147,159,186
2022-06-10,Friday,Viman Nagar,18.5679,73.9143,53,164,129,237
2022-06-11,Saturday,Kothrud,18.5074,73.8077,73,147,159,186
2022-06-12,Sunday,Shivajinagar,18.5302,73.8526,41,144,123,171
2022-06-13,Monday,Viman Nagar,18.5679,73.9143,30,164,129,237
2022-06-14,Tuesday,Viman Nagar,18.5679,73.9143,80,164,129,237
2022-06-15,Wednesday,Hinjawadi,18.5972,73.7186,19,167,139,220
2022-06-16,Thursday,Shivajinagar,18.5302,73.8526,70,144,123,171
2022-06-17,Friday,Hinjawadi,18.5972,73.7186,45,167,139,220
2022-06-18,Saturday,Viman Nagar,18.5679,73.9143,93,164,129,237
2022-06-19,Sunday,Hinjawadi,18.5972,73.7186,86,167,139,220
2022-06-20,Monday,Shivajinagar,18.5302,73.8526,28,144,123,171
2022-06-21,Tuesday,Shivajinagar,18.5302,73.8526,84,144,123,171
2022-06-22,Wednesday,Viman Nagar,18.5679,73.9143,53,164,129,237
2022-06-23,Thursday,Shivajinagar,18.5302,73.8526,13,144,123,171
2022-06-24,Friday,Viman Nagar,18.5679,73.9143,22,164,129,237
2022-06-25,Saturday,Hinjawadi,18.5972,73.7186,68,167,139,220
2022-06-26,Sunday,Viman Nagar,18.5679,73.9143,11,164,129,237
2022-06-27,Monday,Viman Nagar,18.5679,73.9143,10,164,129,237
2022-06-28,Tuesday,Hinjawadi,18.5972,73.7186,49,167,139,220
2022-06-29,Wednesday,Shivajinagar,18.5302,73.8526,34,144,123,171
2022-06-30,Thursday,Shivajinagar,18.5302,73.8526,68,144,123,171
2022-07-01,Friday,Shivajinagar,18.5302,73.8526,46,144,123,171
2022-07-02,Saturday,Kothrud,18.5074,73.8077,79,147,159,186
2022-07-03,Sunday,Viman Nagar,18.5679,73.9143,16,164,129,237
2022-07-04,Monday,Shivajinagar,18.5302,73.8526,13,144,123,171
2022-07-05,Tuesday,Kothrud,18.5074,73.8077,50,147,159,186
2022-07-06,Wednesday,Viman Nagar,18.5679,73.9143,70,164,129,237
2022-07-07,Thursday,Hinjawadi,18.5972,73.7186,43,167,139,220
2022-07-08,Friday,Viman Nagar,18.5679,73.9143,38,164,129,237
2022-07-09,Saturday,Viman Nagar,18.5679,73.9143,78,164,129,237
2022-07-10,Sunday,Hinjawadi,18.5972,73.7186,36,167,139,220
2022-07-11,Monday,Kothrud,18.5074,73.8077,61,147,159,186
2022-07-12,Tuesday,Shivajinagar,18.5302,73.8526,83,144,123,171
2022-07-13,Wednesday,Shivajinagar,18.5302,73.8526,63,144,123,171
2022-07-14,Thursday,Shivajinagar,18.5302,73.8526,79,144,123,171
2022-07-15,Friday,Hinjawadi,18.5972,73.7186,43,167,139,220
2022-07-16,Saturday,Hinjawadi,18.5972,73.7186,17,167,139,220
2022-07-17,Sunday,Shivajinagar,18.5302,73.8526,82,144,123,171
2022-07-18,Monday,Viman Nagar,18.5679,73.9143,94,164,129,237
2022-07-19,Tuesday,Viman Nagar,18.5679,73.9143,17,164,129,237
2022-07-20,Wednesday,Shivajinagar,18.5302,73.8526,77,144,123,171
2022-07-21,Thursday,Shivajinagar,18.5302,73.8526,95,144,123,171
2022-07-22,Friday,Hinjawadi,18.5972,73.7186,77,167,139,220
2022-07-23,Saturday,Shivajinagar,18.5302,73.8526,94,144,123,171
2022-07-24,Sunday,Kothrud,18.5074,73.8077,81,147,159,186
2022-07-25,Monday,Viman Nagar,18.5679,73.9143,93,164,129,237
2022-07-26,Tuesday,Shivajinagar,18.5302,73.8526,10,144,123,171
2022-07-27,Wednesday,Shivajinagar,18.5302,73.8526,15,144,123,171
2022-07-28,Thursday,Hinjawadi,18.5972,73.7186,40,167,139,220
2022-07-29,Friday,Kothrud,18.5074,73.8077,83,147,159,186
2022-07-30,Saturday,Hinjawadi,18.5972,73.7186,93,167,139,220
2022-07-31,Sunday,Shivajinagar,18.5302,73.8526,17,144,123,171
2022-08-01,Monday,Viman Nagar,18.5679,73.9143,31,164,129,237
2022-08-02,Tuesday,Kothrud,18.5074,73.8077,18,147,159,186
2022-08-03,Wednesday,Kothrud,18.5074,73.8077,53,147,159,186
2022-08-04,Thursday,Kothrud,18.5074,73.8077,56,147,159,186
2022-08-05,Friday,Hinjawadi,18.5972,73.7186,10,167,139,220
2022-08-06,Saturday,Shivajinagar,18.5302,73.8526,61,144,123,171
2022-08-07,Sunday,Shivajinagar,18.5302,73.8526,48,144,123,171
2022-08-08,Monday,Shivajinagar,18.5302,73.8526,99,144,123,171
2022-08-09,Tuesday,Kothrud,18.5074,73.8077,84,147,159,186
2022-08-10,Wednesday,Kothrud,18.5074,73.8077,97,147,159,186
2022-08-11,Thursday,Viman Nagar,18.5679,73.9143,93,164,129,237
2022-08-12,Friday,Kothrud,18.5074,73.8077,36,147,159,186
2022-08-13,Saturday,Shivajinagar,18.5302,73.8526,88,144,123,171
2022-08-14,Sunday,Shivajinagar,18.5302,73.8526,42,144,123,171
2022-08-15,Monday,Kothrud,18.5074,73.8077,80,147,159,186
2022-08-16,Tuesday,Viman Nagar,18.5679,73.9143,54,164,129,237
2022-08-17,Wednesday,Kothrud,18.5074,73.8077,69,147,159,186
2022-08-18,Thursday,Kothrud,18.5074,73.8077,67,147,159,186
2022-08-19,Friday,Hinjawadi,18.5972,73.7186,60,167,139,220
2022-08-20,Saturday,Kothrud,18.5074,73.8077,55,147,159,186
2022-08-21,Sunday,Shivajinagar,18.5302,73.8526,14,144,123,171
2022-08-22,Monday,Shivajinagar,18.5302,73.8526,67,144,123,171
2022-08-23,Tuesday,Shivajinagar,18.5302,73.8526,27,144,123,171
2022-08-24,Wednesday,Hinjawadi,18.5972,73.7186,45,167,139,220
2022-08-25,Thursday,Hinjawadi,18.5972,73.7186,76,167,139,220
2022-08-26,Friday,Kothrud,18.5074,73.8077,30,147,159,186
2022-08-27,Saturday,Viman Nagar,18.5679,73.9143,55,164,129,237
2022-08-28,Sunday,Kothrud,18.5074,73.8077,67,147,159,186
2022-08-29,Monday,Hinjawadi,18.5972,73.7186,89,167,139,220
2022-08-30,Tuesday,Kothrud,18.5074,73.8077,46,147,159,186
2022-08-31,Wednesday,Hinjawadi,18.5972,73.7186,72,167,139,220
2022-09-01,Thursday,Shivajinagar,18.5302,73.8526,14,144,123,171
2022-09-02,Friday,Shivajinagar,18.5302,73.8526,87,144,123,171
2022-09-03,Saturday,Hinjawadi,18.5972,73.7186,40,167,139,220
2022-09-04,Sunday,Kothrud,18.5074,73.8077,97,147,159,186
2022-09-05,Monday,Viman Nagar,18.5679,73.9143,45,164,129,237
2022-09-06,Tuesday,Shivajinagar,18.5302,73.8526,83,144,123,171
2022-09-07,Wednesday,Viman Nagar,18.5679,73.9143,65,164,129,237
2022-09-08,Thursday,Hinjawadi,18.5972,73.7186,36,167,139,220
2022-09-09,Friday,Hinjawadi,18.5972,73.7186,32,167,139,220
2022-09-10,Saturday,Viman Nagar,18.5679,73.9143,86,164,129,237
2022-09-11,Sunday,Hinjawadi,18.5972,73.7186,89,167,139,220
2022-09-12,Monday,Kothrud,18.5074,73.8077,61,147,159,186
2022-09-13,Tuesday,Kothrud,18.5074,73.8077,56,147,159,186
2022-09-14,Wednesday,Kothrud,18.5074,73.8077,90,147,159,186
2022-09-15,Thursday,Hinjawadi,18.5972,73.7186,71,167,139,220
2022-09-16,Friday,Viman Nagar,18.5679,73.9143,70,164,129,237
2022-09-17,Saturday,Shivajinagar,18.5302,73.8526,57,144,123,171
2022-09-18,Sunday,Shivajinagar,18.5302,73.8526,10,144,123,171
2022-09-19,Monday,Kothrud,18.5074,73.8077,20,147,159,186
2022-09-20,Tuesday,Shivajinagar,18.5302,73.8526,85,144,123,171
2022-09-21,Wednesday,Hinjawadi,18.5972,73.7186,23,167,139,220
2022-09-22,Thursday,Viman Nagar,18.5679,73.9143,81,164,129,237
2022-09-23,Friday,Hinjawadi,18.5972,73.7186,16,167,139,220
2022-09-24,Saturday,Hinjawadi,18.5972,73.7186,55,167,139,220
2022-09-25,Sunday,Viman Nagar,18.5679,73.9143,40,164,129,237
2022-09-26,Monday,Shivajinagar,18.5302,73.8526,25,144,123,171
2022-09-27,Tuesday,Viman Nagar,18.5679,73.9143,51,164,129,237
2022-09-28,Wednesday,Hinjawadi,18.5972,73.7186,48,167,139,220
2022-09-29,Thursday,Viman Nagar,18.5679,73.9143,63,164,129,237
2022-09-30,Friday,Viman Nagar,18.5679,73.9143,53,164,129,237
2022-10-01,Saturday,Kothrud,18.5074,73.8077,92,147,159,186
2022-10-02,Sunday,Kothrud,18.5074,73.8077,17,147,159,186
2022-10-03,Monday,Hinjawadi,18.5972,73.7186,75,167,139,220
2022-10-04,Tuesday,Hinjawadi,18.5972,73.7186,51,167,139,220
2022-10-05,Wednesday,Shivajinagar,18.5302,73.8526,76,144,123,171
2022-10-06,Thursday,Hinjawadi,18.5972,73.7186,88,167,139,220
2022-10-07,Friday,Shivajinagar,18.5302,73.8526,41,144,123,171
2022-10-08,Saturday,Shivajinagar,18.5302,73.8526,60,144,123,171
2022-10-09,Sunday,Viman Nagar,18.5679,73.9143,56,164,129,237
2022-10-10,Monday,Viman Nagar,18.5679,73.9143,43,164,129,237
2022-10-11,Tuesday,Hinjawadi,18.5972,73.7186,22,167,139,220
2022-10-12,Wednesday,Kothrud,18.5074,73.8077,90,147,159,186
2022-10-13,Thursday,Kothrud,18.5074,73.8077,76,147,159,186
2022-10-14,Friday,Shivajinagar,18.5302,73.8526,82,144,123,171
2022-10-15,Saturday,Hinjawadi,18.5972,73.7186,20,167,139,220
2022-10-16,Sunday,Shivajinagar,18.5302,73.8526,37,144,123,171
2022-10-17,Monday,Viman Nagar,18.5679,73.9143,66,164,129,237
2022-10-18,Tuesday,Hinjawadi,18.5972,73.7186,75,167,139,220
2022-10-19,Wednesday,Hinjawadi,18.5972,73.7186,74,167,139,220
2022-10-20,Thursday,Kothrud,18.5074,73.8077,79,147,159,186
2022-10-21,Friday,Hinjawadi,18.5972,73.7186,98,167,139,220
2022-10-22,Saturday,Kothrud,18.5074,73.8077,44,147,159,186
2022-10-23,Sunday,Hinjawadi,18.5972,73.7186,89,167,139,220
2022-10-24,Monday,Viman Nagar,18.5679,73.9143,13,164,129,237
2022-10-25,Tuesday,Shivajinagar,18.5302,73.8526,70,144,123,171
2022-10-26,Wednesday,Kothrud,18.5074,73.8077,47,147,159,186
2022-10-27,Thursday,Kothrud,18.5074,73.8077,53,147,159,186
2022-10-28,Friday,Hinjawadi,18.5972,73.7186,93,167,139,220
2022-10-29,Saturday,Hinjawadi,18.5972,73.7186,98,167,139,220
2022-10-30,Sunday,Hinjawadi,18.5972,73.7186,80,167,139,220
2022-10-31,Monday,Kothrud,18.5074,73.8077,30,147,159,186
2022-11-01,Tuesday,Kothrud,18.5074,73.8077,16,147,159,186
2022-11-02,Wednesday,Kothrud,18.5074,73.8077,38,147,159,186
2022-11-03,Thursday,Hinjawadi,18.5972,73.7186,16,167,139,220
2022-11-04,Friday,Hinjawadi,18.5972,73.7186,76,167,139,220
2022-11-05,Saturday,Viman Nagar,18.5679,73.9143,79,164,129,237
2022-11-06,Sunday,Viman Nagar,18.5679,73.9143,83,164,129,237
2022-11-07,Monday,Viman Nagar,18.5679,73.9143,64,164,129,237
2022-11-08,Tuesday,Shivajinagar,18.5302,73.8526,87,144,123,171
2022-11-09,Wednesday,Hinjawadi,18.5972,73.7186,31,167,139,220
2022-11-10,Thursday,Hinjawadi,18.5972,73.7186,41,167,139,220
2022-11-11,Friday,Kothrud,18.5074,73.8077,91,147,159,186
2022-11-12,Saturday,Viman Nagar,18.5679,73.9143,45,164,129,237
2022-11-13,Sunday,Hinjawadi,18.5972,73.7186,18,167,139,220
2022-11-14,Monday,Kothrud,18.5074,73.8077,35,147,159,186
2022-11-15,Tuesday,Hinjawadi,18.5972,73.7186,31,167,139,220
2022-11-16,Wednesday,Hinjawadi,18.5972,73.7186,55,167,139,220
2022-11-17,Thursday,Kothrud,18.5074,73.8077,96,147,159,186
2022-11-18,Friday,Kothrud,18.5074,73.8077,26,147,159,186
2022-11-19,Saturday,Kothrud,18.5074,73.8077,35,147,159,186
2022-11-20,Sunday,Shivajinagar,18.5302,73.8526,47,144,123,171
2022-11-21,Monday,Viman Nagar,18.5679,73.9143,11,164,129,237
2022-11-22,Tuesday,Viman Nagar,18.5679,73.9143,15,164,129,237
2022-11-23,Wednesday,Shivajinagar,18.5302,73.8526,80,144,123,171
2022-11-24,Thursday,Kothrud,18.5074,73.8077,22,147,159,186
2022-11-25,Friday,Kothrud,18.5074,73.8077,84,147,159,186
2022-11-26,Saturday,Shivajinagar,18.5302,73.8526,64,144,123,171
2022-11-27,Sunday,Hinjawadi,18.5972,73.7186,88,167,139,220
2022-11-28,Monday,Shivajinagar,18.5302,73.8526,72,144,123,171
2022-11-29,Tuesday,Shivajinagar,18.5302,73.8526,82,144,123,171
2022-11-30,Wednesday,Hinjawadi,18.5972,73.7186,81,167,139,220
2022-12-01,Thursday,Viman Nagar,18.5679,73.9143,55,164,129,237
2022-12-02,Friday,Kothrud,18.5074,73.8077,15,147,159,186
2022-12-03,Saturday,Viman Nagar,18.5679,73.9143,57,164,129,237
2022-12-04,Sunday,Kothrud,18.5074,73.8077,69,147,159,186
2022-12-05,Monday,Viman Nagar,18.5679,73.9143,52,164,129,237
2022-12-06,Tuesday,Shivajinagar,18.5302,73.8526,77,144,123,171
2022-12-07,Wednesday,Viman Nagar,18.5679,73.9143,20,164,129,237
2022-12-08,Thursday,Shivajinagar,18.5302,73.8526,67,144,123,171
2022-12-09,Friday,Kothrud,18.5074,73.8077,99,147,159,186
2022-12-10,Saturday,Kothrud,18.5074,73.8077,13,147,159,186
2022-12-11,Sunday,Kothrud,18.5074,73.8077,88,147,159,186
2022-12-12,Monday,Shivajinagar,18.5302,73.8526,92,144,123,171
2022-12-13,Tuesday,Hinjawadi,18.5972,73.7186,79,167,139,220
2022-12-14,Wednesday,Shivajinagar,18.5302,73.8526,68,144,123,171
2022-12-15,Thursday,Hinjawadi,18.5972,73.7186,14,167,139,220
2022-12-16,Friday,Shivajinagar,18.5302,73.8526,27,144,123,171
2022-12-17,Saturday,Shivajinagar,18.5302,73.8526,79,144,123,171
2022-12-18,Sunday,Shivajinagar,18.5302,73.8526,73,144,123,171
2022-12-19,Monday,Shivajinagar,18.5302,73.8526,34,144,123,171
2022-12-20,Tuesday,Kothrud,18.5074,73.8077,13,147,159,186
2022-12-21,Wednesday,Hinjawadi,18.5972,73.7186,79,167,139,220
2022-12-22,Thursday,Hinjawadi,18.5972,73.7186,50,167,139,220
2022-12-23,Friday,Shivajinagar,18.5302,73.8526,46,144,123,171
2022-12-24,Saturday,Hinjawadi,18.5972,73.7186,68,167,139,220
2022-12-25,Sunday,Viman Nagar,18.5679,73.9143,59,164,129,237
2022-12-26,Monday,Viman Nagar,18.5679,73.9143,65,164,129,237
2022-12-27,Tuesday,Kothrud,18.5074,73.8077,34,147,159,186
2022-12-28,Wednesday,Kothrud,18.5074,73.8077,43,147,159,186
2022-12-29,Thursday,Kothrud,18.5074,73.8077,28,147,159,186
2022-12-30,Friday,Viman Nagar,18.5679,73.9143,88,164,129,237
2022-12-31,Saturday,Kothrud,18.5074,73.8077,17,147,159,186
